Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BatterytoLoad1,TestPoint,TestPoint_Pad_04,79.5,-128.0,0.0,top
C1,10uF,CAPC1005X70N,84.0,-116.0,-90.0,top
C2,10uF,CAPC1005X70N,63.07,-124.72,-90.0,top
C3,10uF,CAPC1005X70N,81.0,-124.5,-90.0,top
IC1,TP4056-42-ESOP8,SOIC127P600X175-9N,67.712,-116.0,0.0,top
IC2,A3901SEJTR-T,SON50P300X300X75-11N-D,65.0,-107.0,0.0,top
J1,Pins_02x08_P1.27mm_SMT,PinHeader_2x08_P2.54mm_Vertical,68.75,-102.04,-90.0,top
J2,JST_02,JST_JWPF_B02B-JWPF-SK-R_1x02_P2.00mm_Vertical,81.0,-110.35,90.0,top
JP1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,81.0,-121.15,-90.0,top
JP2,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,68.0,-123.35,-90.0,top
JP3,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,72.0,-123.15,-90.0,top
LED1,KT-0603R,LEDC1608X70N,76.0,-115.0,-90.0,top
LED2,19-217_BHC-ZL1M2RY_3T,19217BHCZL1M2RY3T,73.0,-115.0,-90.0,top
R1,0603WAF6801T5E,RESC1608X55N,69.5,-131.5,-90.0,top
R2,10k,RESC3116X65N,64.5,-128.95,-90.0,top
R3,1.8k,RESC1608X55N,70.0,-127.5,-90.0,top
R4,1.5k,RES_8F1001T5E_UNR,64.0,-120.5,0.0,top
R5,0603WAF6801T5E,RESC1608X55N,67.5,-131.8,90.0,top
R7,1.8k,RESC1608X55N,67.5,-127.5,-90.0,top
R12,1000,RESC1608X55N,75.0,-119.7,-90.0,top
R13,1000,SOT95P280X145-5N,73.0,-110.5,-90.0,top
S1,SPUN192600,SPUN192600,56.0,-127.5,-90.0,top
TP1,TestPoint,TestPoint_Pad_04,75.5,-125.5,0.0,top
TP3,TestPoint,TestPoint_Pad_04,0.775,-0.775,0.0,top
TP4,TestPoint,TestPoint_Pad_04,76.5,-121.0,0.0,top
TP5,TestPoint,TestPoint_Pad_04,0.775,-3.325,0.0,top
