Comment,Designator,Footprint,LCSC
TSSP58038,U2,Vishay_MINICAST-3Pin,C144844
2.7k,R1,R_1206_3216Metric,C17530
22,R2,R_1206_3216Metric,C17561
MMBT5551L,"Q1,Q2,Q3",SOT-23,C2145
LM324,U1,SOIC-14_3.9x8.7mm_P1.27mm,C71035
TSAL4400,"D1,D2,D3,D4,D5,D6",LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,C94135
TSSP58038,U3,Vishay_MINICAST-3Pin,
TSSP58038,U4,Vishay_MINICAST-3Pin,
TestPoint,TP6,TestPoint_Pad_D1.0mm,
TestPoint,TP5,TestPoint_Pad_D1.0mm,
TestPoint,TP4,TestPoint_Pad_D1.0mm,
TestPoint,TP3,TestPoint_Pad_D1.0mm,
TestPoint,TP2,TestPoint_Pad_D1.0mm,
TestPoint,TP1,TestPoint_Pad_D1.0mm,
22,R6,R_1206_3216Metric,
22,R5,R_1206_3216Metric,
2.7k,R4,R_1206_3216Metric,
2.7k,R3,R_1206_3216Metric,
Conn_01x02_Pin,J17,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x02_Pin,J16,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x01_Pin,J15,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01_Pin,J14,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x02_Pin,J13,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x02_Pin,J12,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x02_Pin,J11,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x02_Pin,J10,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x02_Pin,J9,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x02_Pin,J8,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x02_Pin,J7,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x01_Pin,J6,PinHeader_1x01_P2.54mm_Vertical,
L_S_B,J5,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x01_Pin,J4,PinHeader_1x01_P2.54mm_Vertical,
Conn_02x14_Counter_Clockwise,J3,PinSocket_2x14_P2.54mm_Vertical,
Conn_01x02_Pin,J2,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x02_Pin,J1,PinHeader_1x02_P2.54mm_Vertical,
